reference commands,synonyms
открой,открой
открой,запусти
открой,включи
открой,разверни
скажи,произнеси
скажи,скажи
скажи,говори
добавь путь,добавь
добавь путь,путь
добавь путь,расположение
добавь путь,сохрани
добавь путь,введи
добавь путь,запиши
добавь путь,установи
добавь путь,укажи
добавь путь,задай
добавь путь,маршрут
добавь путь,установи
добавь путь,задай
список путей,выведи
список путей,покажи
список путей,отобрази
выполни поиск,найди
выполни поиск,интернет
выполни поиск,браузер
выполни поиск,информацию
выполни поиск,результат
выполни поиск,запрос
выполни поиск,ищи
выполни поиск,гугл
выполни поиск,поиск
выполни поиск,веб-сайты
выполни поиск,google
выполни поиск,загугли
выполни поиск,поищи
выполни поиск,сайт
выполни поиск,страница
выполни поиск,поисковую
